lat,lon,tipo,nome
-15.7828119,-47.9085240,food_court,Feirinha do anexo do Buriti
-15.7819909,-47.9081292,restaurant,ASTER
-15.7941881,-47.8879372,parking,Correios
-15.7884078,-47.8786105,police,5ª DP Polícia Civil SBN
-15.7863197,-47.8894121,restaurant,Restaurante Coco Bambu
-15.7941211,-47.8971488,police,PCS 99
-15.7936645,-47.8986033,shower,Vestiário Masculino
-15.7897976,-47.8859950,fuel,BR
-15.7835696,-47.8776238,fast_food,Asai Bar
-15.7798716,-47.8745687,atm,Banco24Horas
-15.7772355,-47.8779534,restaurant,Supren Verda
-15.7771510,-47.8790491,bar,Área 51
-15.7767845,-47.8779668,restaurant,Molho de Tomate
-15.7770509,-47.8777968,pharmacy,Drogaria Colorado
-15.7768454,-47.8790691,bar,Bedrock
-15.7901693,-47.8944044,bench,#Feira da Torre
-15.7904117,-47.8945241,fast_food,Pastelaria do Caio
-15.7864750,-47.8841441,cinema,CineCultura Liberty Mall
-15.7943667,-47.8888887,fuel,Posto Imperial
-15.7828200,-47.8842169,taxi,Ponto de táxi da SQN 302
-15.7838723,-47.8776097,bank,Banco do Brasil
-15.7977974,-47.8787827,bicycle_parking,Museu Nacional de Brasília
-15.7892080,-47.8800115,fast_food,Banca do Bacana
-15.7956283,-47.8973491,restaurant,Restaurante da Conab
-15.8088644,-47.9009593,bar,Bar Brasília
-15.7943438,-47.8924590,restaurant,Places
-15.8062400,-47.8937699,restaurant,Restaurante China
-15.8071717,-47.8926219,restaurant,Marvin American Burger
-15.7994890,-47.8908390,hospital,Hospital SARAH
-15.7728288,-47.8851136,fuel,BR
-15.7746379,-47.8857165,restaurant,BSB Grill
-15.7743881,-47.8868765,bar,305
-15.7801628,-47.8755445,fast_food,Subway
-15.7936079,-47.8984702,shower,Vestiário Feminino
-15.7966049,-47.8919932,atm,Banco24Horas
-15.7730225,-47.8756795,pharmacy,Drogaria Macedo
-15.7733149,-47.8756713,pharmacy,Onofarma
-15.7731202,-47.8764214,restaurant,Restaurante Pequim
-15.7835165,-47.8787164,bar,Boteco Caju Limão
-15.7838395,-47.8787120,restaurant,Don Durica
-15.7998476,-47.9070091,clock,Relógio de Sol do Parque da Cidade
-15.7968121,-47.8900604,stripclub,Star Night Boite
-15.8095824,-47.8849959,bar,Adega Piantas
-15.7869408,-47.8854860,restaurant,Universidade Conzinha de Bar
-15.8085073,-47.8862835,restaurant,Nazo
-15.8049066,-47.8846089,bar,Bar Brahma
-15.7797989,-47.8750200,bar,Bar do Mané Rei das Codornas
-15.7834752,-47.8785270,bar,Bar e Café do Brasil
-15.7936470,-47.8931770,bar,Beer Selection
-15.8095377,-47.8850579,bar,Beer Club
-15.8071850,-47.8977780,bar,Choperia Lapa
-15.8069800,-47.8929730,bar,La Bussola
-15.7883227,-47.8788346,bar,La Ursa
-15.7986091,-47.8868724,bar,Novo Museu
-15.8028634,-47.8927610,restaurant,Quem Temperou
-15.7798334,-47.8753981,bar,Só Drinks Bar dos Botafoguenses
-15.7832206,-47.8827318,nightclub,Velvet Pub
-15.7838810,-47.9084470,bank,Banco de Brasília
-15.7907609,-47.8830925,bank,Banco do Brasil
-15.7917450,-47.8834340,bank,Caixa Econômica Federal
-15.7888290,-47.8909980,restaurant,L Affaire
-15.7937810,-47.8910870,restaurant,The Continental Restaurant
-15.7988276,-47.8953482,school,Centro Educacional Maria Auxiliadora
-15.8063065,-47.9097482,school,Centro Interescolar de Educação Física - CIEF
-15.7749340,-47.8836925,school,Centro de Ensino Fundamental 104 Norte
-15.8055468,-47.8916085,school,Centro de Ensino Fundamental 3
-15.8050732,-47.9020421,college,Colégio Batista
-15.7994316,-47.8942905,school,Colégio Dom Bosco
-15.8106251,-47.9107200,language_school,Cultura Inglesa
-15.8054734,-47.9045441,school,Escola Canarinho
-15.7763018,-47.8862384,school,Escola Classe 304 Norte
-15.8062212,-47.9067235,school,Escola Nossa Senhora de Fátima
-15.7850062,-47.8867342,college,Fundação de Ensino e Pesquisa em Ciências da Saúde
-15.8044872,-47.9047197,school,Seminário Presbiteriano de Brasília
-15.8022407,-47.9004287,school,UNIDF
-15.7732725,-47.8668075,school,UnB - CTIC - Centro Tecnológico da Informática e Construção
-15.7734117,-47.8669524,school,UnB - NTI - Núcleo de Tecnologia da Informação
-15.7797730,-47.8751970,restaurant,Algos Pizza e Bar
-15.7838263,-47.8783760,restaurant,Alo Mamma
-15.8033730,-47.8921460,restaurant,Cantina da Massa
-15.7949180,-47.8894430,restaurant,Chamas Grill
-15.8068370,-47.8931320,restaurant,Dom Bosco
-15.8086624,-47.8856930,restaurant,Dom Francisco
-15.8035714,-47.8922993,restaurant,Dudu Camargo
-15.7894950,-47.8868770,restaurant,Churrascarias Sal e Brasa
-15.8071159,-47.8927959,restaurant,Fratello Uno
-15.8010917,-47.8908838,restaurant,Grande Muralha
-15.8017601,-47.8899423,restaurant,La Gioconda
-15.8090163,-47.8852816,restaurant,Lakes Restaurante
-15.8085672,-47.8862155,restaurant,Spot Burguers
-15.7766894,-47.8788941,restaurant,Pacifico
-15.7798366,-47.8757577,restaurant,Self-service Calamares
-15.8100767,-47.8895818,restaurant,Sumo
-15.8043760,-47.8854360,restaurant,O Contemporâneo
-15.7785239,-47.8771751,fuel,BR
-15.7880767,-47.8916196,fuel,BR
-15.7829030,-47.9048580,courthouse,Protocolo Expresso- Drive Thru
-15.8050652,-47.8808025,theatre,Centro Cultural Leandro Lins e Silva
-15.8008979,-47.8820866,bar,Outro Calaf
-15.7952818,-47.9011477,bar,Barulho
-15.7963233,-47.8849170,nightclub,Galleria
-15.8038725,-47.8792919,restaurant,Quiosque da Vilani
-15.8087981,-47.8855436,fast_food,B de Burger
-15.8092485,-47.8854176,restaurant,Naturetto Família
-15.7905249,-47.8865549,atm,Banco do Brasil
-15.7785767,-47.8874761,fast_food,Bob's
-15.7754029,-47.8907837,restaurant,Alibaba
-15.7771919,-47.8837965,pharmacy,Drogasil
-15.7771246,-47.8828582,restaurant,Estrela do Sul
-15.8093425,-47.8848773,pharmacy,Drogarias Pacheco
-15.8092394,-47.8850174,restaurant,L'Entrecôte de Paris
-15.8023285,-47.8933880,restaurant,Brasil Vexado
-15.7869674,-47.8863701,cafe,Cafezinho Express
-15.7742082,-47.8886189,place_of_worship,Shopping Ave Maria
-15.7755847,-47.8884156,language_school,CCAA
-15.7770943,-47.8783130,cafe,Candy House
-15.7808270,-47.8899709,college,ITAC - Instituto Técnico de Aviação Civil
-15.7936989,-47.8837680,bicycle_parking,Metrô - Estação Central
-15.7951284,-47.8951954,bicycle_rental,Parque da Cidade SRTVS - Estação 18
-15.7870149,-47.8879309,bicycle_rental,Brasília Shopping - Estação 34
-15.7973914,-47.8914767,bicycle_rental,Shopping Pátio Brasil - Estação 20
-15.7788797,-47.8875124,fuel,Shell
-15.7985695,-47.8867652,fast_food,Subway
-15.7749509,-47.8908733,cafe,Café Cobogó
-15.7982984,-47.8870928,pharmacy,Farmácia do Trabalhador
-15.7983954,-47.8871106,pharmacy,Drogaria Rosário
-15.7993153,-47.8874035,bank,Bradesco
-15.7767484,-47.8877356,bank,Banco do Brasil
-15.7773395,-47.8876766,bank,Santander
-15.7772621,-47.8876820,bank,Bradesco
-15.7771640,-47.8876954,bank,Banco de Brasília
-15.7770220,-47.8877115,bank,Itaú
-15.7772176,-47.8790491,school,Wizard
-15.8050994,-47.8847788,restaurant,Dona Lenha
-15.7834693,-47.8774214,restaurant,Terra Viva
